"cluster_index","features","M.Z","RT","Annotation","Cosine.Score","No..of.Shared.Peaks","Mass.Diff..to.Library.Reference","ppm.error","Analog.","Nearest.Neighbors","Proximity","classes","CF_superclass_score"
4927,"X814.521_3.173",814.521,3.173,"Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14",0.936611,10,79.9513,108841,"Yes","Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","Lipids and lipid-like molecules",0.03030303
4930,"X900.523_3.093",900.523,3.093,"Spectral Match to 1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine from NIST14",0.959707,10,89.9242,110935,"Yes","Self-Loop","Self-Loop","no matches",0
4931,"X264.127_2.276",264.127,2.276,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
4936,"X810.563_3.543",810.563,3.543,"Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14",0.942366,8,75.993,103452,"Yes","Self-Loop","Self-Loop","no matches",0
4948,"X814.522_3.139",814.522,3.139,"Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14",0.945949,10,79.9522,108842,"Yes","Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","Lipids and lipid-like molecules",0.03030303
4956,"X678.397_3.062",678.397,3.062,"Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14",0.943082,8,54.1562,73928.1,"Yes","Self-Loop","Self-Loop","no matches",0
4961,"X828.501_3.156",828.501,3.156,"Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14",0.899128,7,93.931,127872,"Yes","Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
4964,"X646.372_3",646.372,3,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.942542,6,60.1673,85157.8,"Yes","Self-Loop","Self-Loop","no matches",0
4982,"X828.501_3.1",828.501,3.1,"Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14",0.931983,10,93.9313,127872,"Yes","Self-Loop","Self-Loop","no matches",0
4988,"X484.247_2.622",484.247,2.622,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
5018,"X560.3_2.643",560.3,2.643,"Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine from NIST14",0.934593,8,37.9402,72632.3,"Yes","Spectral Match to Lyso-PC(16:0) from NIST14","First Analog","Lipids and lipid-like molecules",0.115789474
5025,"X375.253_2.846",375.253,2.846,NA,NA,NA,NA,NA,"No","Self-Loop","Self-Loop","no matches",0
5037,"X271.104_0.42",271.104,0.42,"GUANOSINE - 60.0 eV",0.828631,6,12.9949,45740.8,"Yes","Spectral Match to Guanosine from NIST14","First","Nucleosides, nucleotides, and analogues",0.245901639
5039,"X385.129_0.304",385.129,0.304,"Massbank:PR100198 S-Adenosyl-L-homocysteine|AdoHcy|S-Adenosylhomocysteine|5'-Deoxy-S-adenosyl-L-homocysteine|S-(5'-Deoxyadenosine-5')-L-homocysteine|Formycinylhomocysteine",0.954606,4,0.000488281,1.26784,"No","Self-Loop","Self-Loop","Nucleosides, nucleotides, and analogues",1
5054,"X878.55_3.264",878.55,3.264,"Spectral Match to 1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine from NIST14",0.949289,10,67.9513,83828.5,"Yes","Self-Loop","Self-Loop","no matches",0
5071,"X592.567_4.398",592.567,4.398,"Cer(d18:2/24:1); [M+H]+ C42H80N1O3",0.757565,4,53.0393,82154.3,"Yes","Ceramide (18:1/16:0)","Second","no matches",0
5072,"X343.226_2.913",343.226,2.913,"5-hydroxy-7-[2-(2-hydroxy-5-oxo-2H-furan-3-yl)ethyl]-7,8-dimethyl-5,6,6a,8,9,10-hexahydro-1H-benzo[d][2]benzofuran-3-one",0.75856,8,19.9536,54941.3,"Yes","Self-Loop","Self-Loop","no matches",0
5079,"X409.257_2.779",409.257,2.779,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
5090,"X572.262_2.707",572.262,2.707,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
5108,"X462.192_2.403",462.192,2.403,NA,NA,NA,NA,NA,"No","Self-Loop","Self-Loop","no matches",0
5128,"X665.976_2.25",665.976,2.25,NA,NA,NA,NA,NA,"No","Self-Loop","Self-Loop","no matches",0
5137,"X590.275_2.421",590.275,2.421,NA,NA,NA,NA,NA,"No","Spectral Match to 1-Arachidoyl-2-hydroxy-sn-glycero-3-phosphocholine from NIST14","Second Analog","Lipids and lipid-like molecules",0.03030303
5150,"X590.273_2.56",590.273,2.56,"Spectral Match to 1-Arachidoyl-2-hydroxy-sn-glycero-3-phosphocholine from NIST14",0.835581,6,37.8694,68553.8,"Yes","Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine from NIST14","First Analog","Lipids and lipid-like molecules",0.03030303
5176,"X518.253_2.548",518.253,2.548,NA,NA,NA,NA,NA,"No","Spectral Match to 1-Arachidoyl-2-hydroxy-sn-glycero-3-phosphocholine from NIST14","Third Analog","Lipids and lipid-like molecules",0.03030303
5188,"X588.259_2.41",588.259,2.41,NA,NA,NA,NA,NA,"No","Spectral Match to 1-Arachidoyl-2-hydroxy-sn-glycero-3-phosphocholine from NIST14","Third Analog","Lipids and lipid-like molecules",0.03030303
5193,"X606.27_2.406",606.27,2.406,NA,NA,NA,NA,NA,"No","Spectral Match to 1-Arachidoyl-2-hydroxy-sn-glycero-3-phosphocholine from NIST14","First Analog","Lipids and lipid-like molecules",0.03030303
5693,"X158.922_0.304",158.922,0.304,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
5693,"X158.922_0.307",158.922,0.307,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
5707,"X473.238_2.238",473.238,2.238,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
5740,"X359.222_2.756",359.222,2.756,"5-hydroxy-7-[2-(2-hydroxy-5-oxo-2H-furan-3-yl)ethyl]-7,8-dimethyl-5,6,6a,8,9,10-hexahydro-1H-benzo[d][2]benzofuran-3-one",0.842752,9,3.9581,10898.5,"Yes","Self-Loop","Self-Loop","no matches",0
5854,"X451.315_2.964",451.315,2.964,"Spectral Match to p-tert-Octylphenol heptaglycol ether from NIST14",0.798661,12,386.265,124268,"Yes","Spectral Match to p-tert-Octylphenol heptaglycol ether from NIST14","First Analog","no matches",0
5862,"X414.96_0.309",414.96,0.309,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
5977,"X357.105_2.329",357.105,2.329,NA,NA,NA,NA,NA,"No","Massbank:EA282614 Ketamine|2-(2-chlorophenyl)-2-(methylamino)-1-cyclohexanone","First Analog","no matches",0
6039,"X285.083_0.446",285.083,0.446,"Spectral Match to Xanthosine from NIST14",0.93945,9,0.000183105,0.642288,"No","Spectral Match to Guanosine from NIST14","First","Nucleosides, nucleotides, and analogues",0.245901639
6145,"X347.172_2.542",347.172,2.542,"XANTHOSINE - 50.0 eV",0.822387,5,62.0895,217794,"Yes","Spectral Match to Xanthosine from NIST14","Second","Nucleosides, nucleotides, and analogues",0.245901639
6182,"X650.403_3.014",650.403,3.014,"Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14",0.926909,9,84.167,114580,"Yes","Self-Loop","Self-Loop","no matches",0
6227,"X756.516_3.371",756.516,3.371,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.940755,7,49.9759,70733.4,"Yes","Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
6437,"X368.389_3.87",368.389,3.87,"Spectral Match to Octadecanamide from NIST14",0.920196,6,84.0937,295797,"Yes","Spectral Match to Octadecanamide from NIST14","Second","Organic acids and derivatives",0.142857143
6643,"X231.073_0.435",231.073,0.435,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
6799,"X153.041_0.4",153.041,0.4,"GUANINE - 50.0 eV",0.769071,4,0.9841,6471.92,"Yes",NA,"None","no matches",0
7191,"X169.036_0.372",169.036,0.372,"URATE",0.765693,5,0.000106812,0.631886,"No","URATE - 40.0 eV","First","Organoheterocyclic compounds",0.666666667
7654,"X285.022_2.394",285.022,2.394,"Spectral Match to Sulfachloropyridazine from NIST14",0.959032,4,0.00100708,3.53337,"No","Spectral Match to Sulfachloropyridazine from NIST14","First","Benzenoids",0.233333333
8038,"X516.39_3.018",516.39,3.018,"Spectral Match to p-tert-Octylphenol heptaglycol ether from NIST14",0.836192,17,1.03601,2010.29,"Yes","Spectral Match to p-tert-Octylphenol heptaglycol ether from NIST14","First Analog","no matches",0
8039,"X460.269_2.772",460.269,2.772,NA,NA,NA,NA,NA,"No","Spectral Match to N-Lauroylsarcosine from NIST14","Third","Organic acids and derivatives",0.058823529
8044,"X305.133_2.339",305.133,2.339,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
8164,"X439.121_2.673",439.121,2.673,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
8306,"X369.17_2.767",369.17,2.767,"ReSpect:PT111810 1-O-b-D-glucopyranosyl sinapate|1-O-Sinapoyl-beta-D-glucose|1-O-Sinapoyl beta-D-glucoside|[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] (E)-3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-eno",0.791545,5,17.9598,46392.3,"Yes","[(1S,6S,7R)-6-acetyloxy-1-(3-methylbutanoyloxy)spiro[4a,5,6,7a-tetrahydro-1H-cyclopenta[c]pyran-7,2'-oxirane]-4-yl]methyl 3-methylbutanoate","First Analog","no matches",0
8338,"X308.295_3.045",308.295,3.045,"(2R,6S)-2-methyl-6-[(3Z)-pentadec-3-en-1-yl]piperidine",0.829344,7,0.0365906,118.673,"Yes","Spectral Match to 1-Linoleoylglycerol from NIST14","Second","no matches",0
8722,"X325.216_2.916",325.216,2.916,NA,NA,NA,NA,NA,"No","Spectral Match to (.+/-.)-11-Hydroxy-4Z,7Z,9E,13Z,16Z,19Z-docosahexaenoic acid from NIST14","First","Lipids and lipid-like molecules",0.166666667
9082,"X375.217_2.773",375.217,2.773,"Massbank:LU131105 Corticosterone|(8S,9S,10R,11S,13S,14S,17S)-11-hydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one",0.75047,6,27.9955,80627.1,"Yes","4-[2-[(1R,4aS,5R,8aS)-6-hydroxy-5-(hydroxymethyl)-5,8a-dimethyl-2-methylidene-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]ethyl]-2H-furan-5-one","Second","no matches",0
